"team","two_pp","thr_pp","mis_p","oreb_p","sf_p","ft_p","tov_p","avg_poss","total"
"Rhode Island College Anchormen",0.177976104580387,0.0684523479155335,0.479166435408734,0.162162162162162,0.0958332870817469,0.714285714285714,0.301190330828347,73.0435135135135,112.261850581475
"Rhode Island Rams",0.283371912965722,0.0964075565173707,0.448983240636111,0.299958755464601,0.164488609586537,0.656777709088172,0.185277541589702,67.8774201769252,117.852886129544
"Rice Owls",0.270838679287967,0.117140276166707,0.489015890914558,0.29148551206394,0.129415049550346,0.696458601459012,0.173453850950719,67.0644062385697,117.98637468703
"Richmond Spiders",0.288366651160068,0.109693687324426,0.463681890672146,0.171659802038533,0.118689053425735,0.710648172151831,0.130815876656781,66.4428827174444,111.124715923916
"Rider Broncs",0.29869852852146,0.0829424044339993,0.50353162403547,0.316971487274618,0.138062575165032,0.748093457344621,0.179843226401236,68.2128619910623,120.30783585572
"Rivier",0.218847312965335,0.0683897853016673,0.588152153594339,0.209302325581395,0.0410338711810004,0.666666666666667,0.232525270025669,73.1103333333333,114.894839306801
"Robert Morris Colonials",0.255842601889529,0.12650200456941,0.504117388786853,0.341209662336825,0.122190830393431,0.700348670855195,0.201149546007048,68.2706644001709,120.980237164627
"Roberts Wesleyan Redhawks",0.234148293106948,0.147883132488599,0.455972991839846,0.13953488372093,0.123235943740499,0.45,0.147883132488599,81.1451569767442,110.912349366449
"Rockford Regents",0.177365579381029,0.133024184535772,0.532096738143087,0.210526315789474,0.0591218597936764,0.375,0.206926509277867,67.6568703007519,110.853487113143
"Rocky Mountain Bears",0.319022034448721,0.116008012526808,0.435030046975528,0.303030303030303,0.0362525039146274,0.4,0.246517026619466,68.9607538802661,115.282962448515
"Rosemont Ravens",0.246244098515746,0.0144849469715144,0.492488197031491,0.147058823529412,0.0434548409145433,0.666666666666667,0.289698939430289,69.0371875,108.637102286358
"Rust Bearcats",0.214809311983674,0.0805534919938779,0.523597697960207,0.230769230769231,0.114117446991327,0.882352941176471,0.214809311983674,74.4846666666667,114.788726091276
"Rutgers Scarlet Knights",0.264994322855438,0.0808054528307255,0.543574680861416,0.296553646603852,0.145838542316967,0.680142278883934,0.168255285937982,67.6712698746981,120.346828480253
"SE Louisiana Lions",0.249104663950527,0.111675521757724,0.475946499408255,0.317463095392757,0.144779544406971,0.722449714858868,0.209723751528453,66.0824220235961,119.122998105193
"SIU Edwardsville Cougars",0.269775277456806,0.10922527047873,0.518466107461626,0.306639577279666,0.144254908075592,0.725854512285544,0.160639473630886,66.3101225643895,120.236103710364
"SMU Mustangs",0.306538507312612,0.112160170332246,0.517703945124411,0.383863010822043,0.135398292665428,0.686780081455637,0.167903524214329,67.5480354217337,123.970443964903
"SUNY Delhi Broncos",0.144717129530923,0.144717129530923,0.499931902015914,0.24390243902439,0.0723585647654613,0.454545454545455,0.276278156377216,76.010352303523,113.800288222044
"SUNY-Canton Suny-Canton",0.131323935905447,0.0919267551338127,0.6172224987556,0.212765957446809,0.039397180771634,0.833333333333333,0.262647871810894,76.1475806451613,114.251824237739
"SUNY-Maritime Privateers",0.125861192350241,0.0943958942626811,0.613573312707427,0.175,0.0550642716532306,0.714285714285714,0.251722384700483,63.5620865384615,114.061705567406
"SUNY-Potsdam Bears",0.21974245129808,0.0488316558440177,0.524940300323191,0.195121951219512,0.0793514407465288,0.846153846153846,0.256366193181093,81.9140766550523,112.923204139291
"Sacramento State Hornets",0.248678891256385,0.115034857754917,0.486716841212954,0.352012036456258,0.136096837155193,0.717271824164887,0.227804142422452,64.2578736401033,121.43315698019
"Sacred Heart Pioneers",0.282726046195857,0.10716582173108,0.467651381366488,0.259705371269285,0.132032836730183,0.698414393828796,0.167260041445863,69.1770919753122,115.683612746947
"Saginaw Valley State Cardinals",0.341890184872619,0.0683780369745238,0.492321866216571,0.315789473684211,0.0478646258821666,0.714285714285714,0.218809718318476,73.1228947368421,116.926443226436
"Sagu American Indian College Warriors",0.283361887690222,0.0739204924409276,0.394242626351614,0.147058823529412,0.141680943845111,0.739130434782609,0.209441395249295,81.1682904411765,110.264734557717
"Saint Augustine's Falcons",0.244874607938287,0.0432131661067565,0.489749215876574,0.108108108108108,0.0576175548090087,0.625,0.244874607938287,69.4232862407862,108.032915266891
"Saint Joseph's Hawks",0.244234813346069,0.148629815656993,0.489400917381289,0.289739631512996,0.126431347854184,0.724415798852788,0.168421943475484,67.6091629071619,117.711883771402
"Saint Josephs Long Island Bears",0.196297378964105,0.0700511458000492,0.581700394593823,0.185128518971848,0.0595881022975059,0.708333333333333,0.231363523107278,71.3357025895513,113.900054476276
"Saint Louis Billikens",0.259979411794548,0.115789900062901,0.457594596973648,0.258924709291988,0.153703278956761,0.744860394223673,0.17145114771684,68.2936512913973,115.85183355047
"Saint Mary's Gaels",0.317528609033696,0.121414376748717,0.501513883307057,0.391035922686329,0.133160865291912,0.675695151936504,0.161708611666188,62.8298094511293,123.532634604757
"Saint Mary-Of-The-Woods College Pomeroys",0.175160978642644,0.0695324906559501,0.650650407715335,0.251535087719298,0.0840299896772594,0.46875,0.20889297241291,71.9413125,118.82668391041
"Saint Peter's Peacocks",0.249503167454142,0.0910339436647958,0.524472945033706,0.339798048058862,0.168179437891892,0.712929783346721,0.196301549505603,64.1054106254567,122.949104355014
"Saint Vincent Bearcats",0.17491563964463,0.0538201968137322,0.618932263357921,0.0625,0.100912869025748,0.533333333333333,0.121095442830898,74.3215416666666,106.967641167293
"Sam Houston Bearkats",0.258529803881158,0.108817737396822,0.494778978417471,0.321775239397613,0.146183585035879,0.727269478907476,0.191912560894238,68.589260848741,120.022266562557
"Samford Bulldogs",0.273891093031936,0.136902488124707,0.431795884747634,0.303237150522386,0.14888979557335,0.708592098111212,0.177763669968452,73.0382846599317,116.924293144608
